| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      1 |
| 2+   | -32123 |  0  |  0  |  1  |      1 |
| 3    | -32123 |  0  |  0  |  1  |      2 |
| 3+   | -32123 |  0  |  1  |  1  |      2 |
| 4    | -32123 |  0  |  1  |  1  |    133 |
| 4+   | -32123 |  0  |  0  |  1  |    133 |
| 5    | -32123 |  0  |  0  |  1  |    134 |
| 5+   | -32123 |  0  |  0  |  1  |    134 |
| 6    | -32123 |  0  |  0  |  1  |    135 |
