| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   | -32123 |  0  |      0 |
| 3    | -32123 |  0  |      0 |
| 3+   | -32123 |  1  |      0 |
| 4    | -32123 |  1  |    133 |
| 4+   | -32123 |  1  |    133 |
| 5    | -32123 |  1  |    133 |
| 5+   | -32123 |  0  |    133 |
| 6    | -32123 |  0  |    133 |
| 6+   |     16 |  0  |    133 |
| 7    |     16 |  0  |    133 |
| 7+   |     16 |  1  |    133 |
| 8    |     16 |  1  |     16 |
| 8+   |     32 |  0  |     16 |
| 9    |     32 |  0  |     16 |
| 9+   |     32 |  1  |     16 |
| 10   |     32 |  1  |     32 |
